step,value,value_smooth
20,0.0008053422207012773,0.0008053422207012773
50,0.011121787130832672,0.008174231442223703
70,0.1926763951778412,0.12644484922146568
150,0.3090243637561798,0.23887065866402363
160,0.08125324547290802,0.14332179033769266
170,0.049034155905246735,0.08651653535381112
210,0.24640966951847076,0.1826098551477573
220,0.29346203804016113,0.2491647823202714
230,0.0660819485783577,0.13928627808450877
280,0.0689183697104454,0.0970611054298066
300,0.41521546244621277,0.2879617265920397
340,0.17967194318771362,0.22298676645050322
390,0.2640596032142639,0.24763063389095447
410,0.13757172226905823,0.18159510965505613
440,0.457339882850647,0.34704215121981885
510,0.0661797821521759,0.1785246574015206
530,0.12723350524902344,0.14774996082296968
540,0.0949678122997284,0.11608066953272778
580,0.1468208283185959,0.13452476531123608
680,0.25820353627204895,0.2087320287036413
690,0.11541078984737396,0.15273928514362223
720,0.36946481466293335,0.28277460308396946
750,0.38606053590774536,0.3447461628218436
840,0.24342435598373413,0.2839530787018662
880,0.2834343910217285,0.2836418660937486
890,0.16011235117912292,0.20952415714163525
910,0.09702674299478531,0.14202570865230935
920,0.2835176885128021,0.22692089656921674
970,0.055793024599552155,0.12424417338712204
1030,0.05916553735733032,0.08519699176920198
1040,0.21266934275627136,0.16168040236147885
1050,0.24175193905830383,0.20972332437958272
1080,0.22996020317077637,0.22186545165429977
1100,0.07794486731290817,0.13551310104946226
1140,0.050325922667980194,0.08440079402057242
1160,0.08971745520830154,0.0875907907332099
1180,0.16792428493499756,0.1357908872542826
1220,0.19343635439872742,0.1703781675409495
1270,0.13271823525428772,0.14778220816895243
1290,0.248751699924469,0.2083639032222624
1330,0.3830363154411316,0.3131673505535839
1340,0.09357985109090805,0.1814148508759784
1390,0.21341410279273987,0.20061440202603528
1430,0.17184586822986603,0.18335328174833376
1460,0.3066912293434143,0.2573560503053821
1490,0.15548399090766907,0.1962328146667543
1510,0.033875733613967896,0.09881856603508246
1520,0.1090736836194992,0.10497163658573251
1550,0.01064680889248848,0.048376739969786094
1580,0.07150425016880035,0.06225324608919465
1590,0.226268470287323,0.16066238060807167
1620,0.64335697889328,0.45027913957919674
1640,0.2917347550392151,0.3551525088552077
1710,0.327537477016449,0.3385834897519525
1750,0.7860612273216248,0.607070132293756
1770,0.27097222208976746,0.40541138617136285
1810,0.09932004660367966,0.22175658243075294
1830,0.1717015951871872,0.1917235900846135
1870,0.4899211525917053,0.37064212758886866
1910,0.19023215770721436,0.2623961456598761
2060,0.10905171930789948,0.17038948984869015
2080,0.3419940769672394,0.2733522421198197
2130,0.3786691427230835,0.336542382481778
2170,0.015306019224226475,0.14380056452724707
2210,0.1728920191526413,0.16125543730248362
2220,0.1712609976530075,0.16725877351279797
2230,0.28552818298339844,0.2382204191951583
2250,0.4221462607383728,0.348575924121087
