step,value,value_smooth
11,0.008229067549109459,0.008229067549109459
12,0.005645107477903366,0.00638338178396225
13,0.005194258410483599,0.005621123211219525
14,0.0046426597982645035,0.005018621109646236
15,0.004344746470451355,0.0046101132051876515
16,0.004077470861375332,0.004289213393270648
17,0.003813296090811491,0.004003194398273751
18,0.003409290686249733,0.0036466184854691244
19,0.0032145404256880283,0.003387303671777946
20,0.002934930147603154,0.003115851093407189
21,0.0027266929391771555,0.0028823464069727654
22,0.00269878888502717,0.0027722100460238915
23,0.0026182590518146753,0.0026798388296056215
24,0.0023131982889026403,0.0024598539146663233
25,0.0021994607523083687,0.0023036178494943533
26,0.0021692239679396152,0.002222981485928456
27,0.0020671417005360126,0.002129477598629145
28,0.0020230228547006845,0.0020656047478827596
29,0.0020445510745048523,0.0020529725435087837
30,0.0019116485491394997,0.001968178145954889
31,0.0019428033847361803,0.0019529532891567041
32,0.00192022614646703,0.001933317003508355
33,0.001792037975974381,0.001848549586928321
34,0.0017236187122762203,0.0017735910621159614
35,0.0017189260106533766,0.0017407920312347178
36,0.0017236784333363175,0.0017305238724952155
37,0.0016846561338752508,0.0017030032293227412
38,0.001825522049330175,0.001776514521327731
39,0.00162784184794873,0.0016873109173000736
40,0.0016729873605072498,0.0016787167832243693
41,0.0015339291421696544,0.0015918441985915
42,0.0015367553569376469,0.0015587908935991823
43,0.0015818992396816611,0.0015726559012486706
44,0.001548580126836896,0.0015582104366016053
45,0.0015419635456055403,0.0015484623020039666
46,0.0015720782103016973,0.001562631846982605
47,0.0015545465284958482,0.001557780655890551
48,0.0014602444134652615,0.0014992589104353769
49,0.001411737990565598,0.0014467463585135095
50,0.0014272957341745496,0.0014350759839101333
51,0.0014648279175162315,0.0014529271440737925
52,0.0013989494182169437,0.0014205405085596832
53,0.0014981003478169441,0.0014670764121140398
54,0.0014356552856042981,0.0014482237362081947
