step,value,value_smooth
11,0.20679792761802673,0.20679792761802673
12,0.19957956671714783,0.2016419555459704
13,0.19488827884197235,0.1973126756075101
14,0.189386248588562,0.1924318707928869
15,0.18747195601463318,0.18942513293022098
16,0.1841995269060135,0.18627687404731208
17,0.1830184906721115,0.18431863564439238
18,0.1800432950258255,0.18175174903844618
19,0.17457681894302368,0.17744566216635568
20,0.17454802989959717,0.1757069004839236
21,0.17074990272521973,0.17273257707653564
22,0.1702435314655304,0.17123912465395866
23,0.1672286093235016,0.16883279930710834
24,0.1629505306482315,0.16530342863769998
25,0.16471385955810547,0.1649496868101159
26,0.16092725098133087,0.16253622427627062
27,0.16034194827079773,0.1612196584468026
28,0.16335979104042053,0.16250373809121466
29,0.1591949164867401,0.1605184450739586
30,0.1588115394115448,0.15949430166524972
31,0.15811748802661896,0.1586682134784381
32,0.15223555266857147,0.15480861698572826
33,0.15519101917743683,0.15503805830091485
34,0.1518031656742096,0.15309712272434536
35,0.15167152881622314,0.15224176637937573
36,0.15163832902908325,0.15187970396918393
37,0.1501464694738388,0.15083976327195814
38,0.15098968148231506,0.15092971419817294
39,0.15218454599380493,0.15168261327555432
40,0.15005667507648468,0.1507070503561114
41,0.14848341047763824,0.1493728664290269
42,0.14757221937179565,0.14829247819468797
43,0.14991500973701477,0.14926599712008412
44,0.14597362279891968,0.1472905725273854
45,0.14902737736701965,0.14833265543116597
46,0.1481134444475174,0.1482011288409768
47,0.14693957567214966,0.1474441969396805
48,0.14551469683647156,0.1462864968777551
49,0.1439208984375,0.14486713781360205
50,0.1437649428844452,0.14420582085610795
51,0.1455150693655014,0.14499136996174403
52,0.14144138991832733,0.142861381935694
53,0.1444985717535019,0.14384369582637874
54,0.14487172663211823,0.14446051430982243
