step,value,value_smooth
11,0.03852038085460663,0.03852038085460663
12,0.03270857781171799,0.03436909296682903
13,0.03130240738391876,0.03240326887521988
14,0.029829492792487144,0.03081843138585243
15,0.028455225750803947,0.02938583825112372
16,0.025221968069672585,0.02687724092761595
17,0.02207605168223381,0.023991799873764035
18,0.01902833953499794,0.021011770678571014
19,0.017086047679185867,0.018655719254195333
20,0.015634529292583466,0.01684281518045801
21,0.013955422677099705,0.015110307011783609
22,0.013524813577532768,0.014158994990865849
23,0.013215407729148865,0.013592838834426009
24,0.011548822745680809,0.012366425889051706
25,0.010700582526624203,0.011366918798382636
26,0.01031505223363638,0.010735798588470817
27,0.009957770816981792,0.010268981845378897
28,0.00958229135721922,0.009856967524169683
29,0.009520594961941242,0.009655143981284935
30,0.009211092256009579,0.009388712943190282
31,0.009209674783051014,0.00928129004663427
32,0.00858704000711441,0.008864740022189552
33,0.008209210820496082,0.008471422500896697
34,0.007841474376618862,0.008093453626223608
35,0.007761149667203426,0.00789407125078905
36,0.008031383156776428,0.007976458394385188
37,0.007517836056649685,0.007701284991738931
38,0.007952726446092129,0.007852149864351936
39,0.0073168473318219185,0.0075309683448330006
40,0.007266944274306297,0.007372553902516796
41,0.00692784832790494,0.0071057305577495585
42,0.00646066153421998,0.006718689143631741
43,0.007055811583995819,0.0069209626078502035
44,0.006420440506190062,0.006620649346854108
45,0.006486807484179735,0.006540344229249484
46,0.006686347536742687,0.006627946213745405
47,0.006931900046765804,0.006810318513557644
48,0.006348049733787775,0.006532957245695721
49,0.0058272164314985275,0.006109512757177406
50,0.005745824426412582,0.005891299758718512
51,0.005750996991991997,0.005807118098682603
52,0.005699521861970425,0.005742560356655296
53,0.00612369179725647,0.005971239221016
54,0.006158216390758753,0.006083425522861652
