step,value,value_smooth
11,0.20286163687705994,0.20286163687705994
12,0.19734251499176025,0.19891940695898877
13,0.19373007118701935,0.19559290966926476
14,0.18943066895008087,0.19179842646779685
15,0.17645516991615295,0.18249722826723677
16,0.16420339047908783,0.1714757817494104
17,0.14483150839805603,0.15546298236809145
18,0.12346535921096802,0.13625181824529786
19,0.10256094485521317,0.11603199370556289
20,0.08997441083192825,0.10039580440809923
21,0.07813967019319534,0.0870415637617073
22,0.07418930530548096,0.07933007931073119
23,0.07166016101837158,0.07472809745193795
24,0.06039600446820259,0.06612881857818327
25,0.052996497601270676,0.05824941753159326
26,0.050855234265327454,0.053812905666366435
27,0.04854760318994522,0.05065372363777037
28,0.04897595942020416,0.04964706503805359
29,0.046550631523132324,0.047789204878032364
30,0.045799385756254196,0.046595313391838485
31,0.04440781846642494,0.04528281643081794
32,0.043460458517074585,0.04418940168064837
33,0.04145302250981331,0.042547574176991995
34,0.03928477317094803,0.04058989357281458
35,0.0355670303106308,0.037576175615165
36,0.03897346928715706,0.03841455181839799
37,0.03671577200293541,0.03739528392910209
38,0.0384642519056797,0.03803666471505328
39,0.0357917919754982,0.03668974107131635
40,0.03365658223628998,0.03486984577029843
41,0.03202741965651512,0.03316439010202765
42,0.031195078045129776,0.03198280286788871
43,0.03447398170828819,0.033477510172128515
44,0.030542152002453804,0.03171629527032364
45,0.03025771677494049,0.030841148173093743
46,0.03372829407453537,0.03257343571395872
47,0.032874930649995804,0.03275433267558097
48,0.0297043826431036,0.030924362656094544
49,0.030419176444411278,0.030621250929084583
50,0.027330778539180756,0.028646967495142287
51,0.028124811127781868,0.028333673674726036
52,0.02733977511525154,0.02773733453904134
53,0.028260473161935806,0.028051217712778024
54,0.03155555576086044,0.030153820541627477
