step,value,value_smooth
20,0.22975727915763855,0.22975727915763855
50,0.08727449923753738,0.12798386492899486
70,0.06762088090181351,0.0892896443987504
150,0.03899231180548668,0.058318380486642195
160,0.020539654418826103,0.03541663093049762
210,0.05087922140955925,0.04473234237199899
220,0.07792820036411285,0.06468254357692145
230,0.026690993458032608,0.04187266482344827
280,0.04796145483851433,0.045526896767466636
300,0.05534420534968376,0.051417899633219015
370,0.045418720692396164,0.04781824128811135
390,0.027866439893841743,0.03584695960677103
420,0.04264850541949272,0.039927914481228614
490,0.03390028700232506,0.03631132828568684
510,0.031857747584581375,0.03363917699582296
520,0.025585023686289787,0.028806682934562663
560,0.02640509232878685,0.027365728323543056
660,0.058770716190338135,0.04620872233850079
670,0.03371352329850197,0.03871160270842224
690,0.04738369956612587,0.04391486088025485
720,0.060049932450056076,0.05359590386471327
780,0.02512584999203682,0.03651387151105637
810,0.03189009428024292,0.03373960517061608
820,0.031146785244345665,0.032183913214415945
850,0.05225882679224014,0.044228861362466614
890,0.02977292612195015,0.035555300217766116
940,0.044360168278217316,0.040838221054132005
950,0.0206498634070158,0.028725206465774998
960,0.034551557153463364,0.032221016878398095
990,0.022231880575418472,0.026227535096603413
1040,0.030826734378933907,0.02898705466600298
1060,0.01738034002482891,0.022023025881297256
1070,0.03086606226861477,0.027328847713688154
1110,0.030139077454805374,0.02901498555835853
1160,0.0487588606774807,0.040861310629831976
1180,0.02891719341278076,0.03369484029960121
1210,0.04088754951953888,0.03801046583156382
1220,0.020482193678617477,0.027493502539796006
1270,0.062082644551992416,0.04824698774711386
1310,0.023751042783260345,0.03354942076880175
1340,0.026283055543899536,0.02918960163386042
1360,0.03373248130083084,0.031915329434042676
1380,0.027946610003709793,0.029534097775842948
1420,0.023145921528339386,0.02570119202734081
1450,0.03643409162759781,0.03214093178749501
1460,0.02228880114853382,0.0262296534041183
1490,0.020965635776519775,0.023071242827559183
1510,0.018735719844698906,0.02046992903784302
1560,0.02389049157500267,0.022522266560138813
1600,0.022751320153474808,0.02265969871614041
1610,0.011386324651539326,0.01589567427737976
1650,0.014707236550748348,0.015182611641400914
1670,0.029846275225281715,0.0239808097917294
1710,0.046161625534296036,0.03728929923726938
1750,0.09251657873392105,0.07042566693526038
1880,0.029107918962836266,0.045635018151805914
1900,0.02756032533943653,0.03479020246438429
1940,0.04420315846800804,0.04043797606655854
1980,0.028703968971967697,0.03339757180980403
2010,0.02156083658337593,0.026295530673947173
2020,0.02938973717391491,0.028152054573927814
2030,0.024843664839863777,0.026167020733489393
2050,0.020892443135380745,0.023002274174624204
2060,0.08171603083610535,0.0582305281715129
2110,0.07250631600618362,0.06679600087231534
2120,0.05445685610175133,0.059392514009976936
2130,0.03160896524786949,0.04272238475271247
2140,0.03778412565588951,0.0397594292946187
2160,0.02249792031943798,0.029402523909510273
2190,0.030405279248952866,0.03000417711317583
2200,0.019046688452363014,0.023429683916688142
2210,0.02741706557571888,0.025822112912106582
2230,0.027014056220650673,0.02653727889723304
2250,0.04348939284682274,0.036708547266986864
2270,0.09328602999448776,0.07065503690348741
2290,0.027211502194404602,0.04458891607803773
2320,0.017237167805433273,0.028177867114475057
2350,0.039476290345191956,0.034956921052905196
2390,0.037936944514513016,0.03674493512986989
2500,0.021040208637714386,0.02732209923457659
2520,0.047214046120643616,0.039257267366216805
2550,0.026728341355919838,0.031739911760038625
2570,0.05640534684062004,0.04653917280838748
2600,0.040627509355545044,0.04299217473668202
2710,0.059370845556259155,0.052819377228428305
2750,0.024215249344706535,0.03565690049819525
2770,0.037488508969545364,0.03675586558100532
2800,0.01621507853269577,0.02443139335201959
2810,0.02644767053425312,0.025641159661359707
2840,0.08441156893968582,0.060903405228355384
2860,0.040421262383461,0.04861411952141875
2970,0.020559383556246758,0.031781277942315556
2990,0.04818633198738098,0.04162431036935481
3010,0.031778834760189056,0.03571702500385536
3020,0.028313370421528816,0.031274832254459435
3050,0.02205350436270237,0.025742035519405196
3070,0.040867455303668976,0.03481728738996347
3130,0.028697390109300613,0.031145349021565755
3230,0.02681068144738674,0.02854454847705835
