step,value,value_smooth
11,0.10991611331701279,0.10991611331701279
12,0.11373250931501389,0.11264211045844215
13,0.11403890699148178,0.11353749285141626
14,0.113933265209198,0.11378119504216856
15,0.11105822026729584,0.11213050713305563
16,0.10787007212638855,0.10956373262065258
17,0.08678431808948517,0.09587365407726665
18,0.0697893351316452,0.08021279921204932
19,0.05471634119749069,0.06491091310568267
20,0.0468347929418087,0.054064103636949745
21,0.0408487506210804,0.04613455923823024
22,0.040239378809928894,0.04259739163742456
23,0.03791837394237518,0.03978996218005477
24,0.03498442471027374,0.03690663195830553
25,0.031170150265097618,0.033464739246676624
26,0.030314404517412186,0.031574537597282536
27,0.027842648327350616,0.0293354036506431
28,0.02752876654267311,0.028251421311370407
29,0.02694830857217312,0.02746955364636022
30,0.024815712124109268,0.02587724871550207
31,0.025724463164806366,0.025785577384681475
32,0.025965237990021706,0.025893373748075252
33,0.02454453893005848,0.025084072856695692
34,0.024946874007582664,0.025001753547204707
35,0.023797402158379555,0.024279142713828257
36,0.023014701902866364,0.023520478227216954
37,0.02373937889933586,0.023651818630490665
38,0.023032264783978462,0.023280086322580662
39,0.02237497642636299,0.022737020384848497
40,0.022074546664953232,0.02233953615291088
41,0.022241123020648956,0.022280488273553698
42,0.021880216896533966,0.022040325447341816
43,0.020518522709608078,0.021127243804701504
44,0.020703978836536407,0.020873284823802435
45,0.019838707521557808,0.020252538442455652
46,0.020630888640880585,0.020479548561510613
47,0.020719081163406372,0.02062326812264807
48,0.020516933873295784,0.020559467573036696
49,0.02224852703511715,0.021572903250284967
50,0.020170655101537704,0.020731554361036606
51,0.02022622339427471,0.020428355780979474
52,0.019710125401616096,0.019997417553361447
53,0.01896866224706173,0.01938016436958162
54,0.018602119758725166,0.018913337603067747
