step,value,value_smooth
20,0.3450126349925995,0.3450126349925995
50,0.2422073781490326,0.271580308675766
70,0.30962783098220825,0.29596974605169046
150,0.2598745822906494,0.2737436599919361
160,0.13435207307338715,0.18924342543898454
210,0.09217017889022827,0.1307599291087622
220,0.17130717635154724,0.15512820243344838
230,0.17480847239494324,0.1669441080822713
280,0.14790144562721252,0.15551551467204508
300,0.10248719155788422,0.12369518420006408
370,0.2169136106967926,0.17962858611501503
390,0.13953040540218353,0.1555692740390406
420,0.15254060924053192,0.15375206296483832
490,0.07158633321523666,0.1044524927775513
510,0.25175225734710693,0.19283244641653732
520,0.22886452078819275,0.21445170032492944
560,0.2470364272594452,0.23400253984444755
660,0.266007661819458,0.25320561434907907
670,0.30710500478744507,0.28554524950104376
690,0.2783045768737793,0.28120084587691785
720,0.25546079874038696,0.2657568175270758
780,0.2634069323539734,0.26434688642073395
810,0.2428138554096222,0.25142706780497537
820,0.06352095305919647,0.1386833989257735
850,0.1911369264125824,0.1701555154214023
890,0.2563501000404358,0.22187226619515152
940,0.07539516687393188,0.13398600660083654
950,0.05352787300944328,0.08571112644565272
960,0.25453901290893555,0.1870078583239144
990,0.3472709059715271,0.28316568691259286
1040,0.20726782083511353,0.23762696726608426
1060,0.3084573745727539,0.2801252116500939
1070,0.13115426898002625,0.19074264604804672
1110,0.23097580671310425,0.21488254244708194
1160,0.3047816753387451,0.2688220221820805
1180,0.2915829122066498,0.2824785561968221
1210,0.32138824462890625,0.3058243692560726
1220,0.30475136637687683,0.3051805675285551
1270,0.2676900327205658,0.2826862466437615
1310,0.047607421875,0.1416389517825046
1340,0.2422400712966919,0.201999623491017
1360,0.24635788798332214,0.2286145821864001
1380,0.22460484504699707,0.2262087399027583
1420,0.07219626754522324,0.13380125648823726
1450,0.25087639689445496,0.20404634073196787
1460,0.07183249294757843,0.12471803206133421
1490,0.2838367819786072,0.22018928201169802
1510,0.1270376443862915,0.16429829943645413
1560,0.09131325781345367,0.12050727446265386
1600,0.27156326174736023,0.2111408668334777
1610,0.2010652720928192,0.2050955099890826
1650,0.13227300345897675,0.1614020060710191
1670,0.1502428501844406,0.15470651253907203
1710,0.337808221578598,0.26456753796278765
1750,0.13864894211292267,0.18901638045286867
1880,0.18777570128440857,0.1882719729517926
1900,0.1679197996854782,0.17606066899200398
1940,0.2559099793434143,0.2239702552028502
1980,0.10701974481344223,0.1537999489692054
2010,0.22835783660411835,0.19853468155015316
2020,0.3017704486846924,0.26047614183087675
2030,0.2249031513929367,0.23913234756811275
2050,0.2283461093902588,0.2326606046614004
2060,0.17690131068229675,0.1992050282739382
2110,0.39203470945358276,0.314902836981725
2120,0.2898629605770111,0.2998789111388967
2130,0.2394508570432663,0.2636220786815185
