step,value,value_smooth
11,0.5382856130599976,0.5382856130599976
12,0.5707796812057495,0.5614956617355347
13,0.5797305107116699,0.5731846674894675
14,0.5897156596183777,0.5833638498348556
15,0.6040186285972595,0.5958849329837426
16,0.64510178565979,0.6255364973972086
17,0.7170706987380981,0.6805471476511183
18,0.7781108617782593,0.7391237648992827
19,0.8165391087532043,0.7855851507851773
20,0.8355571031570435,0.8155714665013959
21,0.8571702837944031,0.8405318037896256
22,0.8586435914039612,0.8513990586805096
23,0.862798273563385,0.8582386335098445
24,0.8839904069900513,0.8736897390742143
25,0.8953299522399902,0.8866738809152961
26,0.896512508392334,0.8925770599369149
27,0.9011667966842651,0.8977309028707485
28,0.9063814878463745,0.9029212542128023
29,0.9083913564682007,0.906203315656258
30,0.9117350578308105,0.9095223609974828
31,0.9086426496505737,0.908994534187016
32,0.9156993627548218,0.9130174313347766
33,0.9197652339935303,0.9170661129328778
34,0.9230585694313049,0.9206615868329462
35,0.9236068725585938,0.9224287582685339
36,0.921851634979248,0.9220824842949469
37,0.9271148443222046,0.925101900311356
38,0.9239547252655029,0.9244135952838393
39,0.9285449981689453,0.9268924370149101
40,0.928696870803833,0.927975097288265
41,0.9309337735176086,0.9297503030258719
42,0.9355471134185791,0.9332283892614969
43,0.9309296607971191,0.9318491521828702
44,0.9359714388847351,0.9343225242039891
45,0.9348084926605225,0.9346141052779092
46,0.929365873336792,0.9314651661132388
47,0.9303488731384277,0.9307953903283521
48,0.9375207424163818,0.9348306015811698
49,0.9405137300491333,0.9382404786619479
50,0.9419773817062378,0.9404826204885218
51,0.9421515464782715,0.9414839760823717
52,0.9421347379684448,0.9418744332140155
53,0.9407848715782166,0.9412206962325362
54,0.9364128708839417,0.9383360010233794
