step,value,value_smooth
11,0.5838430523872375,0.5838430523872375
12,0.5185228586196899,0.5371857711247036
13,0.4993551969528198,0.5129354030658037
14,0.4809499979019165,0.49323995653631647
15,0.45999792218208313,0.47308838381915275
16,0.40131592750549316,0.4298477965856486
17,0.3478982448577881,0.3805973736560044
18,0.2984231114387512,0.33126048290092724
19,0.26648688316345215,0.2923861323806994
20,0.2446250319480896,0.2637264669373983
21,0.21640484035015106,0.23533230004737232
22,0.2084726244211197,0.21921622428873666
23,0.2043592929840088,0.21030200568359153
24,0.17771559953689575,0.19075010951135243
25,0.16378840804100037,0.17457307125917865
26,0.15685369074344635,0.1639414383834877
27,0.15224404633045197,0.15692300194590805
28,0.14567960798740387,0.15017696510722142
29,0.14413121342658997,0.14654951399913194
30,0.14102572202682495,0.1432352387793069
31,0.14019253849983215,0.14140961860359288
32,0.12814322113990784,0.13344978011137876
33,0.12343454360961914,0.12744063820609441
34,0.11736773699522018,0.12139689747786872
35,0.1160849928855896,0.11820975472214242
36,0.12155115604400635,0.12021459551535106
37,0.111915722489357,0.11523527169966492
38,0.11793763935565948,0.11685669229327335
39,0.10930511355400085,0.11232574504969679
40,0.10746422410011292,0.10940883247994311
41,0.10343015193939209,0.10582162415561083
42,0.09410208463668823,0.09878990044425598
43,0.1053745448589325,0.10274068709306217
44,0.09329640865325928,0.09707412002918026
45,0.09492913633584976,0.09578712981318196
46,0.09815920889377594,0.09721037726153835
47,0.1034032553434372,0.10092610411067766
48,0.09365271776914597,0.09656207230575864
49,0.08385986089706421,0.08894074546054198
50,0.0823364406824112,0.08497816259366352
51,0.08167813718318939,0.08299814734737905
52,0.08206941932439804,0.08244091053359044
53,0.08871809393167496,0.08620722057244116
54,0.09073079377412796,0.08892136449345325
