step,value,value_smooth
20,3.9197962284088135,3.9197962284088135
50,1.0343495607376099,1.858762894357954
70,0.745284914970398,1.1449949588531103
150,0.3833797574043274,0.676020081113712
160,0.09441058337688446,0.32344400343619784
210,0.5290892124176025,0.44733860109705953
220,0.7207311391830444,0.611643320801414
230,0.21112827956676483,0.3711767038585448
280,0.698717474937439,0.5677526977232169
300,0.6704673767089844,0.6293879680411983
370,0.5137650370597839,0.5600112995839696
390,0.3591306209564209,0.4394808702423928
420,0.635968804359436,0.557374421882851
490,0.4799702763557434,0.5109318098981492
510,0.3784140944480896,0.4314210952541337
520,0.29386788606643677,0.3488891342943082
560,0.23292791843414307,0.27931239282501596
660,0.9653151035308838,0.690914047533587
670,0.42642587423324585,0.5322211391912648
690,0.6415972113609314,0.5978467832146264
720,0.6861974000930786,0.6508571535748399
780,0.24760888516902924,0.4089081921057124
810,0.408561646938324,0.40870026500513296
820,0.48413941264152527,0.4539637535997089
850,0.7887096405029297,0.6548112857642548
890,0.31276383996009827,0.4495828182725182
940,0.6818338632583618,0.5889334452665348
950,0.2417641133069992,0.3806318460893125
960,0.525449275970459,0.4675223040182509
990,0.2122618556022644,0.3143660349684824
1040,0.4531958997249603,0.39766395382240755
1060,0.16027119755744934,0.25522830006340635
1070,0.371662974357605,0.3250891046399307
1110,0.3311902582645416,0.32874979681469735
1160,0.8167575597763062,0.621554454591666
1180,0.419330894947052,0.500220318804897
1210,0.6257545351982117,0.575540848640886
1220,0.22851872444152832,0.36732757412127126
1270,1.0556976795196533,0.7803496373603006
1310,0.22498273849487305,0.447129498041044
1340,0.32165417075157166,0.37184430166736065
1360,0.5078158378601074,0.4534272233830087
1380,0.3875752389431,0.4139160327190635
1420,0.2616744935512543,0.32257110921837795
1450,0.5506988763809204,0.45944776951590344
1460,0.2997862994670868,0.3636508874866135
1490,0.26483482122421265,0.304361247729173
1510,0.18009568750858307,0.22980191159681906
1560,0.34817758202552795,0.3008273138540444
1600,0.27451685070991516,0.28504103596756686
1610,0.10106269270181656,0.1746540300081167
1650,0.17726373672485352,0.1762198540381588
1670,0.4760456085205078,0.35611530672756825
1710,0.775553822517395,0.6077784162014643
1750,1.7099556922912598,1.269084781855342
1880,0.4660830795764923,0.7872837604880322
1900,0.4214995801448822,0.5678132522821422
1940,0.7249825596809387,0.6621148367214201
1980,0.4172274172306061,0.5151823850269317
2010,0.319558322429657,0.3978079474685669
2020,0.43756693601608276,0.42166334059707644
2030,0.32609570026397705,0.36432275639721684
2050,0.24874280393123627,0.2949747849176285
2060,1.4386147260665894,0.9811587496070051
2110,1.2738134860992432,1.156751591502348
2120,0.9295297265052795,1.020418472504107
2130,0.4951246678829193,0.7052421897313944
2140,0.5594263076782227,0.6177526604994914
2160,0.2992262840270996,0.42663683461605634
2190,0.4627879858016968,0.44832752532744063
2200,0.22847646474838257,0.3164168889800058
2210,0.4233871102333069,0.3805990217319865
2230,0.305090069770813,0.33529365055528243
2250,0.7679194808006287,0.5948691487024902
2270,1.3598694801330566,1.05386934756083
2290,0.40605080127716064,0.6651782197906284
2320,0.1969076544046402,0.3842158805590355
2350,0.5934693217277527,0.5097679452602658
2390,0.6248620748519897,0.5788244230153002
2500,0.2930552661418915,0.40736292889125497
2520,0.7233995199203491,0.5969848835087115
2550,0.3226184844970703,0.4323650441017268
2570,0.8978129029273987,0.7116337593971299
2600,0.5977336168289185,0.6432936738562032
